,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,Teixoso,36,PT,1618522431,86,40.3145,-7.4576,286.48,1.27
149,Saint-Louis,0,SN,1618522431,24,16.3333,-15.0,307.15,1.03
150,Portland,20,US,1618521846,23,45.5234,-122.6762,297.04,3.6
151,Margate,37,GB,1618522431,72,51.3813,1.3862,279.26,1.79
152,Port Elizabeth,90,ZA,1618522432,77,-33.918,25.5701,290.15,4.12
153,Guerrero Negro,97,MX,1618522432,59,27.9769,-114.0611,290.09,8.9
154,Íquira,97,CO,1618522432,77,2.6487,-75.6346,297.84,1.8
155,Leningradskiy,100,RU,1618522433,83,69.3833,178.4167,269.83,4.41
156,Ternate,100,ID,1618522433,78,0.8,127.4,300.31,3.63
157,Tura,84,IN,1618522433,55,25.5198,90.2201,297.01,2.21
158,Port Macquarie,35,AU,1618522434,93,-31.4333,152.9167,289.26,5.23
159,Elizabeth City,75,US,1618522434,72,36.2946,-76.2511,292.15,4.63
160,Gijang,40,KR,1618522434,81,35.2442,129.2139,280.15,2.06
161,Cabo San Lucas,40,MX,1618522146,21,22.8909,-109.9124,303.15,6.69
162,Qaanaaq,5,GL,1618522435,70,77.484,-69.3632,256.34,2.03
163,Kangaatsiaq,100,GL,1618522435,81,68.3065,-53.4641,258.12,7.53
164,Broken Hill,65,AU,1618522355,71,-31.95,141.4333,282.15,3.6
165,Morón,0,AR,1618522435,72,-34.6534,-58.6198,295.93,0.38
166,Jingdezhen,36,CN,1618522436,96,29.2947,117.2079,288.04,0.76
167,Touros,40,BR,1618522436,83,-5.1989,-35.4608,300.15,3.6
168,Khorramabad,61,IR,1618522436,28,33.4878,48.3558,286.84,1.34
169,Carahue,75,CL,1618522437,77,-38.7,-73.1667,290.15,3.6
170,Kérouané,83,GN,1618522437,41,9.2667,-9.0167,300.85,2.26
171,Mount Isa,1,AU,1618522437,20,-20.7333,139.5,296.15,3.6
172,Jinchang,0,CN,1618522438,19,38.4953,102.1739,279.21,2.98
173,Jijiga,67,ET,1618522438,64,9.35,42.8,292.65,1.36
174,Balikpapan,97,ID,1618522438,88,-1.2675,116.8289,296.76,1.51
175,Trelew,0,AR,1618522366,24,-43.249,-65.3051,292.0,3.35
176,Isabela,40,PH,1618522439,94,6.7085,121.9711,297.15,1.03
